a	0	0
b	0	0
a	1	0
b	1	0
a	2	0
b	2	0
a	3	0
b	3	0
a	4	0
b	4	0
a	5	0
b	5	0
a	6	0
b	6	0
a	7	0
b	7	0
a	8	1
b	8	1
a	9	1
b	9	1
a	10	0
b	10	0
a	11	2
b	11	0
a	12	2
b	12	0
a	13	0
b	13	0
a	14	0
b	14	0
a	15	1
b	15	1
a	16	1
b	16	1
a	17	2
b	17	1
a	18	1
b	18	1
a	19	2
b	19	2
a	20	2
b	20	2
a	21	2
b	21	2
a	22	2
b	22	2
a	23	2
b	23	2
a	24	0
b	24	0
a	25	0
b	25	0
a	26	0
b	26	0
a	27	0
b	27	0
a	28	2
b	28	0
a	29	1
b	29	1
a	30	1
b	30	1
a	31	2
b	31	2
a	32	2
b	32	2
a	33	0
b	33	0
a	34	1
b	34	1
a	35	1
b	35	1
a	36	2
b	36	2
a	37	0
b	37	0
a	38	1
b	38	2
a	39	0
b	39	0
a	40	0
b	40	0
a	41	2
b	41	0
a	42	2
b	42	0
a	43	0
b	43	0
a	44	0
b	44	0
a	45	0
b	45	1
a	46	0
b	46	1
a	47	0
b	47	1
a	48	1
b	48	0
a	49	1
b	49	0
a	50	0
b	50	0
a	51	0
b	51	0
a	52	2
b	52	1
a	53	2
b	53	1
a	54	2
b	54	2
a	55	0
b	55	0
a	56	0
b	56	0
a	57	0
b	57	0
a	58	0
b	58	0
a	59	0
b	59	0
a	60	0
b	60	0
a	61	1
b	61	1
a	62	0
b	62	0
a	63	0
b	63	0
a	64	0
b	64	0
a	65	1
b	65	1
a	66	1
b	66	1
a	67	1
b	67	1
a	68	1
b	68	1
a	69	1
b	69	1
a	70	1
b	70	1
a	71	1
b	71	1
a	72	2
b	72	2
a	73	2
b	73	2
a	74	1
b	74	2
a	75	1
b	75	2
a	76	2
b	76	2
a	77	2
b	77	2
a	78	2
b	78	2
a	79	2
b	79	2
